"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","FOC","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","*"
"Washoe","FOC","U.S. Representative in Congress, District 2","Amodei, Mark E.","*"
"Washoe","FOC","President and Vice President of the United States","BIDEN, JOSEPH R.","*"
"Washoe","FOC","President and Vice President of the United States","BLANKENSHIP, DON","*"
"Washoe","FOC","U.S. Representative in Congress, District 2","HANSEN, JANINE","*"
"Washoe","FOC","President and Vice President of the United States","JORGENSEN, JO","*"
"Washoe","FOC","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","FOC","President and Vice President of the United States","TRUMP, DONALD J.","*"
"Washoe","GER-WADS 7412","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","294"
"Washoe","GER-WADS 7412","U.S. Representative in Congress, District 2","Amodei, Mark E.","190"
"Washoe","GER-WADS 7412","COUNTY COMMISSION, DISTRICT 4","BAKER, MARIE","304"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","390"
"Washoe","GER-WADS 7412","President and Vice President of the United States","BIDEN, JOSEPH R.","319"
"Washoe","GER-WADS 7412","President and Vice President of the United States","BLANKENSHIP, DON","4"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","385"
"Washoe","GER-WADS 7412","Court of Appeals Judge, Department 3","Bulla, Bonnie","192"
"Washoe","GER-WADS 7412","Court of Appeals Judge, Department 3","BUSH, SUSAN","157"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","173"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","225"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","419"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department  9","Freeman, Scott N.","397"
"Washoe","GER-WADS 7412","Supreme Court Justice, Seat D","FUMO, Ozzie","201"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department  2","Grossman, Dixie","394"
"Washoe","GER-WADS 7412","State Assembly, District 32","Hansen, Alexis M.","214"
"Washoe","GER-WADS 7412","U.S. Representative in Congress, District 2","HANSEN, JANINE","28"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department 15","HARDY, DAVID A.","379"
"Washoe","GER-WADS 7412","COUNTY COMMISSION, DISTRICT 4","HARTUNG, VAUGHN","200"
"Washoe","GER-WADS 7412","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","180"
"Washoe","GER-WADS 7412","President and Vice President of the United States","JORGENSEN, JO","4"
"Washoe","GER-WADS 7412","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","386"
"Washoe","GER-WADS 7412","Supreme Court Justice, Seat B","None Of These Candidates","121"
"Washoe","GER-WADS 7412","President and Vice President of the United States","None Of These Candidates","5"
"Washoe","GER-WADS 7412","Court of Appeals Judge, Department 3","None Of These Candidates","124"
"Washoe","GER-WADS 7412","Supreme Court Justice, Seat D","None Of These Candidates","103"
